Evidenèní èíslo;Název;Cizojazyènı název;Název 35;Název 20;Název 12;Název 7;Název 6;Název 3;Název ISC;Název ZDD;Kvalifikátor;Kvalifikátor - popis;Stav;Stav - popis;Km poloha;TUDU;TTP;Km polohy další;TUDU další;TTP další;X [S-JTSK (-Y)];Y [S-JTSK (-X)];GPS N (DMS);GPS E (DMS);GPS N (DEG);GPS E (DEG);Nadmoøská vıška (Bpv);VÚSC;VÚSC - popis;Vlastník;Provozovatel;Provozní obvod;Provozní obvod - popis;Oblastní øeditelství;Oblastní øeditelství - popis;Operativní øízení;Operativní øízení - popis;Dopravní uzel;Dopravní uzel - popis;Dálkové øízení;Dálkové øízení - popis
349621;Štarnov;-;Štarnov;Štarnov z;STARNOV;STARNOV;SRV;SRV;Štarnov;-;61;Zastávka;1;Aktivní;111,638;136104;311C;-;-;-;-543746,472;-1111771,899;"N49°41'01,072""";"E17°17'05,156""";N49,683631°;E17,284766°;231,207;710;Olomouckı kraj;Stát;S;100339;Olomouc;316000;Ostrava;100601;CDP Pøerov;;;-;-
349670;Moravská Tøebová;-;Moravská Tøebová;Moravská Tøebová;MOR.TREBOVA;MTREBVA;MTA;MTA;Moravská Tøebová;Moravská Tøebová;3;Dopravna D3;1;Aktivní;56,631;1911I1;314E;-;-;-;-587154,717;-1098008,952;"N49°45'59,988""";"E16°39'58,646""";N49,766663°;E16,666291°;0;530;Pardubickı kraj;Stát;S;100081;Èeská Tøebová;314005;Hradec Králové;100601;CDP Pøerov;;;340372;Chornice
349720;Šumperk;-;Šumperk;Šumperk;SUMPERK;SUMPERK;SPK;SPK;Šumperk;Šumperk;1;eleznièní stanice;1;Aktivní;43,848;1362J1;311C;43,848;1362J1;311B;-562275,62;-1078805,101;"N49°57'42,407""";"E16°58'56,979""";N49,961780°;E16,982494°;316,812;710;Olomouckı kraj;Stát;S;100339;Olomouc;316000;Ostrava;100601;CDP Pøerov;834978;Šumperk;-;-
349738;Šumperk zastávka;-;Šumperk zastávka;Šumperk zastávka z;SUMPERK Z.;SUMPERZ;-;-;-;-;61;Zastávka;4;Zrušen;45,623;-;-;-;-;-;-563540,518;-1080019,724;"N49°56'59,107""";"E16°58'00,116""";N49,949752°;E16,966699°;0;710;Olomouckı kraj;Stát;S;100339;Olomouc;316000;Ostrava;100601;CDP Pøerov;;;-;-
349753;Ostopovice;-;Ostopovice;Ostopovice z;OSTOPOVICE;OSTPVCE;OSP;OSP;Ostopovice;-;61;Zastávka;1;Aktivní;147,596;127116;322C;-;-;-;-603197,709;-1163541,435;"N49°09'55,058""";"E16°32'36,432""";N49,165294°;E16,543453°;246,889;640;Jihomoravskı kraj;Stát;S;100057;Brno;315002;Brno;100601;CDP Pøerov;;;-;-
349761;Brno-Starı Lískovec;-;Brno-Starı Lískovec;Brno-St. Lískovec z;BRNOSTLISK;BRNOSL;BNO ST;-;Brno-Starı Lískovec;-;61;Zastávka;1;Aktivní;149,804;127116;322C;-;-;-;-601145,889;-1164113,347;"N49°09'43,836""";"E16°34'20,181""";N49,162177°;E16,572272°;226,199;640;Jihomoravskı kraj;Stát;S;100057;Brno;315002;Brno;100601;CDP Pøerov;;;-;-
349779;Linhartice;-;Linhartice;Linhartice z;LINHARTICE;LINHRTC;-;-;Linhartice;-;61;Zastávka;1;Aktivní;52,539;191116;314E;-;-;-;-584005,754;-1099992,641;"N49°45'06,989""";"E16°42'45,642""";N49,751941°;E16,712678°;0;530;Pardubickı kraj;Stát;S;100081;Èeská Tøebová;314005;Hradec Králové;100601;CDP Pøerov;;;-;-
349829;Vikıøovice;-;Vikıøovice;Vikıøovice z;VIKYROVICE;VIKYROV;-;-;Vikıøovice;-;61;Zastávka;1;Aktivní;15,6;194106;-;-;-;-;-559867,17;-1077363,49;"N49°58'36,816""";"E17°00'49,816""";N49,976893°;E17,013838°;0;710;Olomouckı kraj;Desná;SART;0;-;0;-;0;-;;;-;-
349845;Veøovice;-;Veøovice;Veøovice;VEROVICE;VEROVIC;VER;VER;Veøovice;Veøovice;1;eleznièní stanice;1;Aktivní;78,366;2131D1;302A;78,366;2131D1;306A;-484210,795;-1133720,65;"N49°32'12,930""";"E18°07'59,666""";N49,536925°;E18,133241°;0;810;Moravskoslezskı kraj;Stát;S;100107;Èeskı Tìšín;316000;Ostrava;100601;CDP Pøerov;;;-;-
349852;Moravské Bránice;-;Moravské Bránice;Moravské Bránice;MOR.BRANICE;MBRANCE;MBR;MBR;Moravské Bránice;Moravské Bránice;1;eleznièní stanice;1;Aktivní;131,862;1271F1;323A;131,862;1271F1;323B;-612475,016;-1171493,641;"N49°05'06,393""";"E16°25'44,322""";N49,085109°;E16,428978°;0;640;Jihomoravskı kraj;Stát;S;100040;Bøeclav;315002;Brno;100601;CDP Pøerov;;;-;-
