@lat	@lon	railway:ref	name
49.1501309	13.9059670	750620	Nišovice
49.1503870	17.1342617	352757	Brankovice
49.1506722	14.2433885	740027	Újezdec u Číčenic
49.1535999	14.2215243	733527	Číčenice
49.1539370	16.4841359	361857	Střelice
49.1544134	18.0426226	365452	Poteč
49.1549752	16.7492569	363556	Ponětovice
49.1549756	15.0056269	007013	Jindřichův Hradec - místní nádraží
49.1551688	15.0041512	743625	Jindřichův Hradec
49.1565284	16.5061849	361865	Střelice dolní
49.1569132	16.7296932	363457	Šlapanice
49.1605386	14.2743173	739920	Záboří u Číčenic
49.1610999	16.4468310	363853	Omice
49.1631104	17.5047757	351858	Napajedla
49.1633425	16.7198702	343459	Šlapanice zastávka
49.1639815	16.7982989	331256	Blažovice
49.1639827	16.5264350	362152	Troubsko
49.1644498	14.9511380	757021	Děbolín
49.1645025	14.2928024	740126	Chvalešovice
49.1657887	18.0632686	366450	Valašské Příkazy
49.1671838	14.6660843	735324	Horusice
49.1674150	16.6067950	333054	Brno-Horní Heršpice
49.1692723	14.8830786	756924	Mnich
49.1696673	16.6824238	333658	Brno-Slatina
49.1702226	13.8929163	750521	Volyně
49.1719093	15.0330918	744722	Horní Skrýchov
49.1721802	16.4088328	363754	Tetčice
49.1726708	14.2206316	733626	Milenovice
49.1744233	15.4623502	749002	Telč-Staré Město
49.1762784	18.0998757	336925	Střelná
49.1783775	16.2915079	358655	Vysoké Popovice
49.1787160	16.3838594	369256	Rosice u Brna
49.1799823	16.8244906	338855	Holubice
49.1823804	16.6154800	380154	Brno dolní nádraží
49.1825563	15.4645899	749309	Telč
49.1834626	14.3110498	740225	Lhota pod Horami
49.1835921	14.8604448	756825	Kardašova Řečice
49.1835979	16.2573104	358556	Rapotice
49.1861685	16.8393513	359158	Velešovice
49.1873670	13.8931630	750422	Hoštice u Volyně
49.1876144	16.3588463	369157	Zastávka u Brna
49.1889828	16.6312375	333856	Brno-Černovice
49.1890617	18.0580460	336529	Horní Lideč
49.1911221	16.6131116	332957	Brno hlavní nádraží
49.1923638	16.2034959	344655	Kralice nad Oslavou
49.1938309	14.7167898	735522	Veselí nad Lužnicí
49.1939266	15.0334600	744821	Dolní Radouň
49.1951245	15.8042871	361659	Stařeč
49.1956571	14.3465591	740324	Temelín
49.1963322	14.2224920	733725	Protivín zastávka
49.1972970	16.8675465	359059	Rousínov
49.2002392	17.5456466	356352	Otrokovice-Trávníky
49.2012112	15.0506970	744920	Lovětín
49.2025193	17.5316559	355750	Otrokovice
49.2043077	16.6368668	333955	Brno-Židenice
49.2056004	17.5737742	355859	Zlín-Malenovice zastávka
49.2068374	16.1479577	351759	Náměšť nad Oslavou
49.2070895	14.7324799	735639	Řípec
49.2076168	17.5846955	355255	Zlín-U mlýna
49.2078495	15.4863657	749408	Mysliboř
49.2083173	14.8002864	756726	Doňov
49.2088925	15.8528481	365650	Třebíč-Borovina
49.2096588	18.0529852	336826	Lidečko ves
49.2098605	17.5992883	337451	Zlín-Malenovice
49.2101154	13.8875055	750331	Strunkovice nad Volyňkou obec
49.2114833	15.8844310	365551	Třebíč
