SR70;Èíslo;Tarifní název;Název 35;Název 20;Název 12;Název 7;Název 3;Zkratka;Km poloha;Kvalifikátor;Kvalifikátor-Popis;Stav;Stav-Popis;Obsazení;TUDU;DDR;DDR-Popis;OOØ;PO;PO-Popis;OØ;OØ-Popis;Vlastník;Provozovatel;Kraj;Kraj-Popis;JTSK Y;JTSK X;GPS X;GPS Y;Dopr. uzel;
580514;58051400;Vl.FERONA Liberec;Vleèka FERONA Liberec;Vleèka Ferona;-;FeroLib;-;-;0,877;81;Samostatné kolejištì vleèky;1;Aktivní;9;1671BA;-;-;100545;100255;Liberec;314005;Hradec Králové;266/94Sb§3;266/94Sb§3;510;Libereckı;-688274,388;-976934,763;"E15°03'32,518""";"N50°44'27,895""";;-1
741371;74137100;Vl.HOB Prima Bøasy;Vleèka HOB Prima Bøasy;Vleèka Jodasta;-;vlHOBPr;-;-;?;81;Samostatné kolejištì vleèky;3;Mimo provoz;9;0272CA;-;-;100545;100388;Plzeò;312009;Plzeò;266/94Sb§3;266/94Sb§3;320;Plzeòskı;-806257;-1061985;"E13°35'00,107""";"N49°50'15,604""";;-1
581215;58121500;Vl.HOLCIM Prachovice;Vleèka HOLCIM (Èesko) Prachovice;HOLCIM Prachovice;-;HOLCIM;-;-;1,486;81;Samostatné kolejištì vleèky;1;Aktivní;9;1541EA;-;-;100545;100081;Èeská Tøebová;314005;Hradec Králové;266/94Sb§3;266/94Sb§3;530;Pardubickı;-658119,328;-1074784,747;"E15°38'58,384""";"N49°54'06,398""";;-1
780080;78008000;Vl.CHODOS novı závod;Vleèka CHODOS novı závod;Vleèka Novı závod;-;CHODOS;-;-;1,624;81;Samostatné kolejištì vleèky;3;Mimo provoz;9;0191DA;-;-;100552;100198;Karlovy Vary;313007;Ústí nad Labem;266/94Sb§3;266/94Sb§3;410;Karlovarskı;-857464,451;-1007501,491;"E12°45'37,841""";"N50°15'05,026""";;-1
759936;75993600;Vl.JIP - papírny Vìtøní;Vleèka JIP - papírny Vìtøní;JIP-papírny Vìtøní;pap. Vìtøní;JIPVetr;-;-;6,4;81;Samostatné kolejištì vleèky;1;Aktivní;9;49202;-;-;100545;100099;Èeské Budìjovice;312009;Plzeò;266/94Sb§3;266/94Sb§3;310;Jihoèeskı;-770695,864;-1188551,4;"E14°18'55,215""";"N48°45'24,485""";;-1
580456;58045600;Vl.Karlovarská;Vleèka Karlovarská;Vleèka OPAS;-;LINDAB;-;-;0,723;81;Samostatné kolejištì vleèky;1;Aktivní;9;0101YA;-;-;100545;100230;Kralupy nad Vltavou;311001;Praha;266/94Sb§3;266/94Sb§3;110;Hlavní mìsto Praha;-751823,425;-1042395,066;"E14°17'43,099""";"N50°04'54,669""";;-1
345082;34508200;Vl.Kotojedy;Vl.Kotojedy;Vl. Kotojedy;-;-;-;-;2,35;81;Samostatné kolejištì vleèky;1;Aktivní;9;2122EA;-;-;100560;100487;Valašské Meziøíèí;317008;Olomouc;266/94Sb§3;266/94Sb§3;720;Zlínskı;-539450,467;-1156666,51;"E17°24'15,789""";"N49°17'08,365""";;-1
555995;55599500;Vl.Kovohutì Mníšek;Vleèka Kovohutì Mníšek pod Brdy;Vl.Kovohutì Mníšek;-;KovohMn;-;-;3,2;1;Stanice (z pøepravního hlediska blíe neurèená);4;Zrušen;9;-;-;-;100545;100396;Praha hl.n.;-;nezadaná;266/94Sb§3;266/94Sb§3;0;nezadanı;-755681;-1065356;"E14°17'10,433""";"N49°52'21,328""";;-1
769075;76907500;Vl.Kovohutì Pøíbram;Vleèka Kovohutì Pøíbram;Vleèka Tavírna;-;KovohPb;-;-;2;81;Samostatné kolejištì vleèky;1;Aktivní;9;0281PA;-;-;100545;100024;Beroun;311001;Praha;266/94Sb§3;266/94Sb§3;210;Støedoèeskı;-779972;-1081094;"E13°58'58,201""";"N49°42'06,743""";;-1
551705;55170500;Vl.Kovošrot Rakovník;Vleèka Kovošrot Rakovník;Vleèka Kovošrot;-;VU1859;-;-;0,294;81;Samostatné kolejištì vleèky;1;Aktivní;9;0762MA;-;-;100545;100024;Beroun;311001;Praha;266/94Sb§3;266/94Sb§3;210;Støedoèeskı;-793082;-1033420;"E13°42'24,024""";"N50°06'32,747""";;-1
541219;54121900;Vl.KRONOSPAN Jeníkov;Vleèka KRONOSPAN Jeníkov;Vleèka Kronospan;-;KronosJ;-;-;0,594;81;Samostatné kolejištì vleèky;1;Aktivní;9;0634B1;-;-;100552;100305;Most;313007;Ústí nad Labem;266/94Sb§3;266/94Sb§3;420;Ústeckı;-783036;-977024;"E13°43'51,377""";"N50°37'25,978""";;-1
534586;53458600;Vl.Lasselsberger 1;Vleèka Lasselsberger 1;Keramické závody;-;Lassel1;-;-;1,709;81;Samostatné kolejištì vleèky;1;Aktivní;9;0171BA;-;-;100545;100024;Beroun;311001;Praha;266/94Sb§3;266/94Sb§3;210;Støedoèeskı;-789841;-1033933;"E13°45'09,167""";"N50°06'31,581""";;-1
546085;54608500;Vl.Letištì Pardubice;Vleèka Letištì Pardubice;Vleèka Letištì;VLLETI;vlLeti;-;-;1,923;81;Samostatné kolejištì vleèky;1;Aktivní;9;1611RA;-;-;100545;100081;Èeská Tøebová;314005;Hradec Králové;266/94Sb§3;266/94Sb§3;530;Pardubickı;-650423;-1062573;"E15°44'08,538""";"N50°01'08,613""";;-1
580415;58041500;Vl.Lovochemie;Vleèka Lovochemie;Vleèka Lovochemie;-;vlLovo;-;-;4,2;81;Samostatné kolejištì vleèky;1;Aktivní;9;0807B1;-;-;100552;100479;Ústí nad Labem;313007;Ústí nad Labem;266/94Sb§3;266/94Sb§3;420;Ústeckı;-761096,465;-992810,466;"E14°04'09,666""";"N50°30'42,009""";;-1
581058;58105800;Vl.MAX MERLIN;Vleèka MAX MERLIN Hajništì;Vleèka STV Group;-;vlMaxMe;-;-;11,604;81;Samostatné kolejištì vleèky;1;Aktivní;9;0971D1;-;-;100545;100255;Liberec;314005;Hradec Králové;266/94Sb§3;266/94Sb§3;510;Libereckı;-676096,512;-957467,81;"E15°11'43,489""";"N50°55'42,749""";;-1
542902;54290200;Vl.Mondi Štìtí;Vleèka Mondi Štìtí;Vleèka Mondi Štìtí;-;vlMondi;-;-;1,28;81;Samostatné kolejištì vleèky;1;Aktivní;9;0806B1;-;-;100552;100479;Ústí nad Labem;313007;Ústí nad Labem;266/94Sb§3;AWT;420;Ústeckı;-740049;-1000485;"E14°22'41,217""";"N50°28'10,666""";;-1
544601;54460100;Vl.O-I Manuf.Dubí;Vleèka O-I Manufacturing Dubí;Vleèka Rudolfova hu;-;O-IDubi;-;-;2,6;81;Samostatné kolejištì vleèky;1;Aktivní;9;0641IC;-;-;100552;100479;Ústí nad Labem;313007;Ústí nad Labem;266/94Sb§3;266/94Sb§3;420;Ústeckı;-777047;-974515;"E13°48'34,452""";"N50°39'14,414""";;-1
