SR70;Èíslo;Tarifní název;Název 35;Název 20;Název 12;Název 7;Název 3;Zkratka;Km poloha;Kvalifikátor;Kvalifikátor-Popis;Stav;Stav-Popis;Obsazení;TUDU;DDR;DDR-Popis;OOØ;PO;PO-Popis;OØ;OØ-Popis;Vlastník;Provozovatel;Kraj;Kraj-Popis;JTSK Y;JTSK X;GPS X;GPS Y;Dopr. uzel;
346726;34672600;Horní Moštìnice;Horní Moštìnice;Horní Moštìnice z;H.MOSTEN.;HORMOS;-;-;179,812;61;Zastávka;1;Aktivní;9;240134;-;-;100560;100487;Valašské Meziøíèí;317008;Olomouc;Stát;SDC;710;Olomouckı;-534576,366;-1142627,819;"E17°27'08,875""";"N49°24'55,95 """;;-1
731026;73102600;Horní Nerestce;Horní Nerestce;Horní Nerestce z;HOR.NERESTCE;HNEREST;-;-;42,317;61;Zastávka;1;Aktivní;9;28112;-;-;100545;100024;Beroun;311001;Praha;Stát;SDC;310;Jihoèeskı;-777900,118;-1104311,281;"E14°03'24,115""";"N49°29'52,269""";;-1
565002;56500200;Horní Nová Ves;Horní Nová Ves;Horní Nová Ves z;HOR.NOVA VES;HORNNVS;-;-;61,745;61;Zastávka;1;Aktivní;9;140114;-;-;100545;100255;Liberec;314005;Hradec Králové;Stát;SDC;520;Královehradeckı;-656241,778;-1013541,587;"E15°34'20,099""";"N50°27'01,458""";;-1
759126;75912600;Horní Planá;Horní Planá;Horní Planá;HORNI PLANA;HORPLAN;HPA;HPA;63,749;1;Stanice (z pøepravního hlediska blíe neurèená);1;Aktivní;9;0491K1;759928;Kájov;100545;100099;Èeské Budìjovice;312009;Plzeò;Stát;SDC;310;Jihoèeskı;-791609,793;-1184684,472;"E14°01'34,841""";"N48°45'53,957""";;-1
758623;75862300;Horní Planá zastávka;Horní Planá zastávka;Horní Planá zast. z;HOR.PLANA Z.;HPLANAZ;-;-;61,791;61;Zastávka;1;Aktivní;9;49120;-;-;100545;100099;Èeské Budìjovice;312009;Plzeò;Stát;SDC;310;Jihoèeskı;-790524,629;-1186269,05;"E14°02'38,400""";"N48°45'08,145""";;-1
543165;54316500;Horní Poèaply;Horní Poèaply;Horní Poèaply z;HOR.POCAPLY;HPOCAPL;-;-;463,484;61;Zastávka;1;Aktivní;9;80118;-;-;100552;100479;Ústí nad Labem;313007;Ústí nad Labem;Stát;SDC;210;Støedoèeskı;-740164,118;-1005748,839;"E14°23'11,942""";"N50°25'21,393""";;-1
567297;56729700;Horní Podluí;Horní Podluí;Horní Podluí z;HOR.PODLUZI;HPODLUZ;-;-;3,31;61;Zastávka;1;Aktivní;2;115102;-;-;100552;100131;Dìèín;313007;Ústí nad Labem;Stát;SDC;420;Ústeckı;-721283,416;-956644,955;"E14°33'25,199""";"N50°52'58,718""";;-1
562496;56249600;Horní Police;Horní Police;Horní Police;Horní Police;HPolice;HPO;HPO;9,462;1;Stanice (z pøepravního hlediska blíe neurèená);1;Aktivní;1;0871C1;-;-;100552;100255;Liberec;314005;Hradec Králové;Stát;SDC;510;Libereckı;-734914,197;-974637,06;"E14°24'00,144""";"N50°42'22,067""";;-1
565390;56539000;Horní Poustevna;Horní Poustevna;Horní Poustevna z;H.POUSTEVNA;HORNIPS;-;-;23,84;61;Zastávka;1;Aktivní;9;118108;-;-;100552;100131;Dìèín;313007;Ústí nad Labem;Stát;SDC;420;Ústeckı;-737386,786;-941636,716;"E14°18'03,471""";"N50°59'48,903""";;-1
343244;34324400;Horní Povelice;Horní Povelice;Horní Povelice z;HOR.POVELICE;HPOVELI;-;-;8,731;61;Zastávka;1;Aktivní;9;139104;-;-;100560;100354;Ostrava;316000;Ostrava;Stát;SDC;810;Moravskoslezskı;-511518,117;-1054304,913;"E17°39'17,265""";"N50°13'32,672""";;-1
545822;54582200;Horní Øasnice;Horní Øasnice;Horní Øasnice nz;HOR.RASNICE;HORNIRC;HRA;HRA;18,966;52;Nákladištì a zastávka;1;Aktivní;9;97112;-;-;100545;100255;Liberec;314005;Hradec Králové;Stát;SDC;510;Libereckı;-675609,074;-954900,588;"E15°11'51,717""";"N50°57'07,132""";;-1
570499;57049900;Horní Øepèice;Horní Øepèice;Horní Øepèice z;HOR.REPCICE;HREPCCE;-;-;55,334;61;Zastávka;1;Aktivní;2;113106;-;-;100552;100255;Liberec;314005;Hradec Králové;Stát;SDC;420;Ústeckı;-746486,8;-989686,301;"E14°16'02,129""";"N50°33'28,165""";;-1
744722;74472200;Horní Skrıchov;Horní Skrıchov;Horní Skrıchov;HOR.SKRYCHOV;HSKRYCH;-;-;3,323;3;Dopravna D3;1;Aktivní;8;1831B1;743625;Jindøichùv Hradec;0;100446;Tábor;-;nezadaná;JHMD;JHMD;310;Jihoèeskı;-712590,755;-1149901,881;"E15°01'53,912""";"N49°10'14,611""";;-1
743351;74335100;Horní Slavkov;Horní Slavkov;Horní Slavkov;HOR.SLAVKOV;HORNISV;HSV;HSV;7,735;3;Dopravna D3;1;Aktivní;9;0251B1;-;-;100552;100198;Karlovy Vary;313007;Ústí nad Labem;Stát;SDC;410;Karlovarskı;-856408,323;-1020494,158;"E12°48'13,965""";"N50°08'15,178""";;-1
743252;74325200;Horní Slavkov - Kounice;Horní Slavkov - Kounice;H.Slavkov-Kounice;H.Sl-Kounice;Kounice;-;-;6,115;3;Dopravna D3;1;Aktivní;9;25110;745059;Beèov nad Teplou;100552;100198;Karlovy Vary;313007;Ústí nad Labem;Stát;SDC;410;Karlovarskı;-855678,552;-1020701,033;"E12°48'51,899""";"N50°08'12,291""";;-1
713362;71336200;Horní Slavkov (zast. ÈSAD);Horní Slavkov (zast. ÈSAD);H.Slavkov (z.ÈSAD);-;-;-;-;?;65;Zastávka náhradní autobusové dopravy;1;Aktivní;9;-;-;-;0;Neurèenı;Neurèenı;-;nezadaná;266/94Sb§3;266/94Sb§3;410;Karlovarskı;-857200,655;-1017644,088;"E12°47'11,887""";"N50°09'42,221""";;-1
743450;74345000;Horní Slavkov zastávka;Horní Slavkov zastávka;H.Slavkov zast. z;H.SLAVKOV Z.;HSLAVKZ;-;-;10,918;61;Zastávka;3;Mimo provoz;9;25104;-;-;100552;100198;Karlovy Vary;313007;Ústí nad Labem;Stát;SDC;410;Karlovarskı;-857750,339;-1017870,379;"E12°46'46,341""";"N50°09'32,177""";;-1
713354;71335400;Horní Slavkov-staré mìsto;Horní Slavkov-staré mìsto;H.Slavkov-st m.;-;HSLAVSM;-;-;?;1;Stanice (z pøepravního hlediska blíe neurèená);4;Zrušen;9;-;-;-;100552;100198;Karlovy Vary;-;nezadaná;266/94Sb§3;266/94Sb§3;0;nezadanı;-856251,191;-1021017,822;"E12°48'25,939""";"N50°07'59,243""";;-1
334847;33484700;Horní Suchá;Horní Suchá;Horní Suchá z;HORNI SUCHA;HORNISC;-;-;13,338;61;Zastávka;1;Aktivní;9;252104;-;-;100560;100107;Èeskı Tìšín;316000;Ostrava;Stát;SDC;810;Moravskoslezskı;-456275,445;-1107537,943;"E18°29'16,528""";"N49°47'34,298""";;-1
571703;57170300;Horní Sytová;Horní Sytová;Horní Sytová z;HORNI SYTOVA;HSYTOVA;-;-;9,171;61;Zastávka;1;Aktivní;9;144106;-;-;100545;100255;Liberec;314005;Hradec Králové;Stát;SDC;510;Libereckı;-661543,473;-992501,036;"E15°27'42,722""";"N50°37'56,402""";;-1
335349;33534900;Horní Tošanovice;Horní Tošanovice;Horní Tošanovice z;H.TOSANOVICE;HTOSANO;-;-;123,935;61;Zastávka;1;Aktivní;9;253104;-;-;100560;100107;Èeskı Tìšín;316000;Ostrava;Stát;SDC;810;Moravskoslezskı;-456174,685;-1120012,319;"E18°30'13,053""";"N49°40'52,197""";;-1
757922;75792200;Horní Ves;Horní Ves;Horní Ves z;HORNI VES;HORNVES;-;-;60,74;61;Zastávka;1;Aktivní;9;180122;-;-;100560;100180;Jihlava;315002;Brno;Stát;SDC;630;Vysoèina;-690653,617;-1139230,339;"E15°18'42,927""";"N49°17'27,066""";;-1
757724;75772400;Horní Vilímeè;Horní Vilímeè;Horní Vilímeè z;HOR.VILIMEC;HVILEMC;-;-;51,832;61;Zastávka;1;Aktivní;9;180120;-;-;100560;100180;Jihlava;315002;Brno;Stát;SDC;630;Vysoèina;-695274,361;-1144957,328;"E15°15'31,539""";"N49°14'04,438""";;-1
751727;75172700;Horní Vltavice;Horní Vltavice;Horní Vltavice z;HOR.VLTAVICE;HVLTAVI;-;-;51,136;61;Zastávka;1;Aktivní;9;38118;-;-;100545;100099;Èeské Budìjovice;312009;Plzeò;Stát;SDC;310;Jihoèeskı;-806744,847;-1160290,015;"E13°46'28,625""";"N48°57'45,340""";;-1
714394;71439400;Horní Vltavice, Polka, u mostu;Horní Vltavice, Polka, u mostu;Horní Vltavice,Polka;-;-;-;-;?;65;Zastávka náhradní autobusové dopravy;1;Aktivní;0;-;-;-;0;Neurèenı;Neurèenı;-;nezadaná;ÈD;ÈD;310;Jihoèeskı;-811311;-1161374;"E13°42'54,306""";"N48°56'49,163""";;-1
714386;71438600;Horní Vltavice, el.st.;Horní Vltavice, el.st.;HorníVltavice,el.st;-;HorVlta;HVL;-;?;65;Zastávka náhradní autobusové dopravy;1;Aktivní;9;-;-;-;0;Neurèenı;Neurèenı;-;nezadaná;ÈD;ÈD;310;Jihoèeskı;-806718,4;-1160323,4;"E13°46'30,149""";"N48°57'44,395""";;-1
766253;76625300;Horšovskı Tın;Horšovskı Tın;Horšovskı Tın;HORSOV.TYN;HORSTYN;HTY;HTY;9,361;1;Stanice (z pøepravního hlediska blíe neurèená);1;Aktivní;1;0321C1;-;-;100545;100388;Plzeò;312009;Plzeò;Stát;SDC;320;Plzeòskı;-857601,961;-1089358,257;"E12°56'15,504""";"N49°31'27,706""";;-1
735324;73532400;Horusice;Horusice;Horusice z;HORUSICE;HORUSIC;HOR;HOR;32,805;61;Zastávka;1;Aktivní;1;1781G1;-;-;100545;100446;Tábor;312009;Plzeò;Stát;SDC;310;Jihoèeskı;-739002,04;-1146783,258;"E14°40'01,068""";"N49°10'02,999""";;-1
545640;54564000;Hoøátev;Hoøátev;AHr Hoøátev nz;HORATEV;HORATEV;-;HTV;9,912;38;Automatické hradlo, nákladištì a zastávka;1;Aktivní;9;1512D1;-;-;100545;100222;Kolín;311001;Praha;Stát;SDC;210;Støedoèeskı;-698797,274;-1041559,132;"E15°01'43,015""";"N50°09'10,002""";;-1
550582;55058200;Hoøesedly;Hoøesedly;Hoøesedly nz;HORESEDLY;HORESDL;-;-;12,083;52;Nákladištì a zastávka;1;Aktivní;9;0762D1;-;-;100545;100024;Beroun;311001;Praha;Stát;SDC;210;Støedoèeskı;-796747,45;-1026228,334;"E13°38'28,448""";"N50°10'05,676""";;-1
537498;53749800;Hoøetice;Hoøetice;Hoøetice;HORETICE;HORETIC;HOT;HOT;109,4;1;Stanice (z pøepravního hlediska blíe neurèená);1;Aktivní;9;0101T1;537795;atec;100552;100305;Most;313007;Ústí nad Labem;Stát;SDC;420;Ústeckı;-802982,536;-1001596,832;"E13°30'13,422""";"N50°22'44,42 """;;-1
759720;75972000;Hoøice na Šumavì;Hoøice na Šumavì;Hoøice na Šumavì;HORICE NA S.;HORNSUM;HSU;HSU;41,814;1;Stanice (z pøepravního hlediska blíe neurèená);1;Aktivní;9;0491G1;759928;Kájov;100545;100099;Èeské Budìjovice;312009;Plzeò;Stát;SDC;310;Jihoèeskı;-780105,143;-1185589,561;"E14°10'58,844""";"N48°46'17,245""";;-1
555805;55580500;Hoøice v Podkrkonoší;Hoøice v Podkrkonoší;Hoøice v Podkrkonoší;HORICE V P.;HORCVPK;HVP;HVP;26,27;1;Stanice (z pøepravního hlediska blíe neurèená);1;Aktivní;1;1,63E+04;-;-;100545;100172;Hradec Králové;314005;Hradec Králové;Stát;SDC;520;Královehradeckı;-653105,773;-1024476,7;"E15°38'04,556""";"N50°21'22,393""";;-1
568501;56850100;Hoøinìves;Hoøinìves;Hoøinìves z;HORINEVES;HORINEV;-;-;2,558;61;Zastávka;1;Aktivní;9;1641B1;-;-;100545;100172;Hradec Králové;314005;Hradec Králové;Stát;SDC;520;Královehradeckı;-645279,158;-1030289,997;"E15°45'12,591""";"N50°18'45,864""";;-1
731349;73134900;Hoøovice;Hoøovice;Hoøovice;HOROVICE;HOROVIC;HVI;HVI;58,086;1;Stanice (z pøepravního hlediska blíe neurèená);1;Aktivní;9;0202J1;545558;CDP Praha;100545;100024;Beroun;311001;Praha;Stát;SDC;210;Støedoèeskı;-783680,345;-1064657,981;"E13°53'57,541""";"N49°50'36,202""";;-1
734723;73472300;Hosín;Hosín;AHr Hosín z;HOSIN;HOSIN;-;-;7,597;37;Automatické hradlo a zastávka;1;Aktivní;9;178104;-;-;100545;100099;Èeské Budìjovice;312009;Plzeò;Stát;SDC;310;Jihoèeskı;-755493,951;-1159418,51;"E14°27'59,083""";"N49°02'05,949""";;-1
336222;33622200;Hostašovice;Hostašovice;Hostašovice;HOSTASOVICE;HOSTASV;HOS;HOS;69,243;1;Stanice (z pøepravního hlediska blíe neurèená);1;Aktivní;3;2131B1;-;-;100560;100107;Èeskı Tìšín;316000;Ostrava;Stát;SDC;810;Moravskoslezskı;-492767,049;-1134747,769;"E18°01'00,326""";"N49°31'15,379""";;-1
581652;58165200;Hostavice;Hostavice;Hostavice;-;HOSTAVI;-;-;?;35;Automatické hradlo;4;Zrušen;9;150140;-;-;100545;100396;Praha hl.n.;-;nezadaná;Stát;SDC;0;nezadanı;-732801,503;-1044069,401;"E14°33'42,582""";"N50°05'24,856""";;-1
345553;34555300;Hostìrádky-Rešov;Hostìrádky-Rešov;Hostìrádky-Rešov z;HOSTERADKY-R;HOSTERR;-;-;19,779;61;Zastávka;1;Aktivní;9;210106;-;-;100560;100057;Brno;315002;Brno;Stát;SDC;640;Jihomoravskı;-586377,652;-1170431,831;"E16°46'57,967""";"N49°07'11,407""";;-1
360859;36085900;Hostìtín;Hostìtín;Hostìtín z;HOSTETIN;HOSTETI;-;-;139,479;61;Zastávka;1;Aktivní;9;230242;-;-;100560;100487;Valašské Meziøíèí;317008;Olomouc;Stát;SDC;720;Zlínskı;-507907,724;-1185559,095;"E17°52'20,225""";"N49°03'13,088""";;-1
569707;56970700;Hostinné;Hostinné;Hostinné;HOSTINNE;HOSTINN;HTN;HTN;107,42;1;Stanice (z pøepravního hlediska blíe neurèená);1;Aktivní;1;1401M1;-;-;100545;100255;Liberec;314005;Hradec Králové;Stát;SDC;520;Královehradeckı;-643423,057;-1005421,406;"E15°44'16,298""";"N50°32'12,119""";;-1
569715;56971500;Hostinné mìsto;Hostinné mìsto;Hostinné mìsto z;HOSTINNE M.;HOSTINM;-;-;106,035;61;Zastávka;1;Aktivní;9;140124;-;-;100545;100255;Liberec;314005;Hradec Králové;Stát;SDC;520;Královehradeckı;-644632,836;-1004996,245;"E15°43'12,734""";"N50°32'21,121""";;-1
536565;53656500;Hostivice;Hostivice;Hostivice;HOSTIVICE;HOSTIVC;HOE;HOE;14,796;1;Stanice (z pøepravního hlediska blíe neurèená);1;Aktivní;1;1,01E+03;-;-;100545;100230;Kralupy nad Vltavou;311001;Praha;Stát;SDC;210;Støedoèeskı;-754400,767;-1041779,343;"E14°15'30,412""";"N50°05'02,876""";;-1
510164;51016400;Hostivice, Husovo námìstí;Hostivice, Husovo námìstí;Hostivice,Hus.nám.;-;-;-;-;?;1;Stanice (z pøepravního hlediska blíe neurèená);4;Zrušen;9;-;-;-;100545;Neurèenı;Neurèenı;-;nezadaná;266/94Sb§3;266/94Sb§3;0;nezadanı;-754979,802;-1041978,941;"E14°15'02,956""";"N50°04'53,881""";;-1
536664;53666400;Hostivice-Litovice;Hostivice-Litovice;Hostivice-Litovice z;HOSTIVICE-L.;HOSTLIT;-;-;21,022;61;Zastávka;1;Aktivní;9;7,41E+03;-;-;100545;100230;Kralupy nad Vltavou;311001;Praha;Stát;SDC;210;Støedoèeskı;-756996,951;-1042814,835;"E14°13'28,292""";"N50°04'18,019""";;-1
536763;53676300;Hostivice-Sadová;Hostivice-Sadová;Hostivice-Sadová z;Hostivice-S.;-;-;-;18,155;61;Zastávka;1;Aktivní;9;71106;-;-;100545;100230;Kralupy nad Vltavou;311001;Praha;Stát;SDC;210;Støedoèeskı;-753951,953;-1042852,769;"E14°16'00,244""";"N50°04'30,476""";;-1
536862;53686200;Hostivice-U høbitova;Hostivice-U høbitova;Hostiv.-U høbitova z;H.-U høbitov;-;-;-;22,493;61;Zastávka;1;Aktivní;9;74110;-;-;100545;100230;Kralupy nad Vltavou;311001;Praha;Stát;SDC;210;Støedoèeskı;-756387,3;-1041528,2;"E14°13'49,694""";"N50°05'02,010""";;-1
548099;54809900;Hostomice nad Bílinou;Hostomice nad Bílinou;Hostomice n. Bíl. z;HOSTOM./BIL.;HOSTMNB;-;-;21,42;61;Zastávka;1;Aktivní;9;66108;-;-;100552;100305;Most;313007;Ústí nad Labem;Stát;SDC;420;Ústeckı;-778062,691;-982056,15;"E13°48'38,72 """;"N50°35'08,161""";;-1
768242;76824200;Hostomice pod Brdy;Hostomice pod Brdy;Hostomice pod Brdy;HOSTOM.PBRDY;HOSTPBD;HPB;HPB;18,726;3;Dopravna D3;1;Aktivní;9;0291G1;532069;Zadní Tøebaò;100545;100024;Beroun;311001;Praha;Stát;SDC;210;Støedoèeskı;-773338,478;-1067490,293;"E14°02'50,034""";"N49°49'53,075""";;-1
755454;75545400;Hostouò;Hostouò;Hostouò;HOSTOUN;HOSTOUN;HSN;HSN;29,379;3;Dopravna D3;1;Aktivní;9;0331I1;-;-;100545;100388;Plzeò;312009;Plzeò;Stát;SDC;320;Plzeòskı;-868384,341;-1083575,508;"E12°46'40,661""";"N49°33'37,767""";;-1
540765;54076500;Hostouò u Prahy;Hostouò u Prahy;Hostouò u Prahy z;HOSTOUN U P.;HOSTOUP;-;-;26,824;61;Zastávka;1;Aktivní;9;74112;-;-;100545;100230;Kralupy nad Vltavou;311001;Praha;Stát;SDC;210;Støedoèeskı;-757565,887;-1039006,576;"E14°12'33,333""";"N50°06'17,536""";;-1
510768;51076800;Hostouò u Prahy (u høištì);Hostouò u Pr.(u høištì);Hostouò u Pr.(u hø.);-;-;-;-;?;1;Stanice (z pøepravního hlediska blíe neurèená);4;Zrušen;9;-;-;-;100545;Neurèenı;Neurèenı;-;nezadaná;266/94Sb§3;266/94Sb§3;0;nezadanı;-758384,294;-1039046,141;"E14°11'52,825""";"N50°06'12,580""";;-1
510867;51086700;Hostouò u Prahy, obec;Hostouò u Prahy, obec;Hostouò u Prahy,obec;-;-;-;-;?;1;Stanice (z pøepravního hlediska blíe neurèená);4;Zrušen;9;-;-;-;100545;Neurèenı;Neurèenı;-;nezadaná;266/94Sb§3;266/94Sb§3;0;nezadanı;-758211,464;-1038722,404;"E14°11'59,169""";"N50°06'23,736""";;-1
744755;74475500;Hoštìc;Hoštìc;Hoštìc z;HOSTEC;HOSTEC;-;-;21,07;61;Zastávka;1;Aktivní;9;24108;-;-;100552;100198;Karlovy Vary;313007;Ústí nad Labem;Stát;SDC;410;Karlovarskı;-856052,749;-1036813,511;"E12°50'40,862""";"N49°59'35,362""";;-1
539833;53983300;Hoštejn;Hoštejn;Hoštejn z;HOSTEJN;HOSTEJN;HON;HON;30,913;62;Zastávka v obvodu stanice;1;Aktivní;9;-;-;-;100560;100339;Olomouc;317008;Olomouc;Stát;SDC;710;Olomouckı;-578160,345;-1087079,668;"E16°46'28,139""";"N49°52'22,625""";;-1
539825;53982500;Hoštejn pøedjízdné koleje;Hoštejn pøedjízdné koleje;Hoštejn pøedj.k.;Hoštej pøedj;-;-;-;31,525;1;Stanice (z pøepravního hlediska blíe neurèená);1;Aktivní;9;1,90E+04;346668;CDP Pøerov;100560;100339;Olomouc;317008;Olomouc;Stát;SDC;710;Olomouckı;-577600,565;-1087090,118;"E16°46'56,072""";"N49°52'24,196""";;-1
750422;75042200;Hoštice u Volynì;Hoštice u Volynì;Hoštice u Volynì z;HOSTICE U V.;HOSTCUV;-;-;9,017;61;Zastávka;1;Aktivní;9;38104;-;-;100545;100099;Èeské Budìjovice;312009;Plzeò;Stát;SDC;310;Jihoèeskı;-794573,359;-1136798,556;"E13°53'35,362""";"N49°11'14,577""";;-1
341552;34155200;Hoštice-Heroltice;Hoštice-Heroltice;Hoštice-Heroltice z;HOSTICE-HER.;HOSTHER;-;HOH;52,6;61;Zastávka;1;Aktivní;9;210118;-;-;100560;100057;Brno;315002;Brno;Stát;SDC;640;Jihomoravskı;-564340,703;-1153514,264;"E17°03'34,527""";"N49°17'29,897""";;-1
530790;53079000;Hoštka;Hoštka;Hoštka;HOSTKA;HOSTKA;HOA;HOA;392,172;1;Stanice (z pøepravního hlediska blíe neurèená);1;Aktivní;1;1,00E+04;-;-;100552;100131;Dìèín;313007;Ústí nad Labem;Stát;SDC;420;Ústeckı;-743267,692;-997581,718;"E14°19'39,295""";"N50°29'29,448""";;-1
540732;54073200;Hoštka mìsto;Hoštka mìsto;Hoštka mìsto z;Hoštka mìsto;-;-;-;391,715;61;Zastávka;2;Evidován;9;-;-;-;100552;100131;Dìèín;313007;Ústí nad Labem;Stát;SDC;420;Ústeckı;0;0;"E  °00'00,   """;"N  °00'00,   """;;-1
354522;35452200;Hovìzí;Hovìzí;Hovìzí;HOVEZI;HOVEZI;HVZ;HVZ;7,562;3;Dopravna D3;1;Aktivní;9;2371B1;-;-;100560;100487;Valašské Meziøíèí;317008;Olomouc;Stát;SDC;720;Zlínskı;-491795,236;-1158955,588;"E18°03'34,889""";"N49°18'17,626""";;-1
547364;54736400;Hovorèovice;Hovorèovice;AHr Hovorèovice z;HOVORCOVICE;HOVORCO;-;-;23,378;37;Automatické hradlo a zastávka;1;Aktivní;9;90110;-;-;100545;100230;Kralupy nad Vltavou;311001;Praha;Stát;SDC;210;Støedoèeskı;-733868,365;-1033795,757;"E14°31'39,663""";"N50°10'49,710""";;-1
300004;30000400;hr. infr. Albrechtice u È. Tìšína;hr. infr. Albrechtice u È. Tìšína;hi Albrechtice;-;hiAlbre;-;-;10,462;90;Hranice infrastruktur;1;Aktivní;9;2521B1;-;-;100560;100107;Èeskı Tìšín;316000;Ostrava;Stát;SDC;810;Moravskoslezskı;-453389,19;-1107782,198;"E18°31'41,380""";"N49°47'34,148""";;-1
500132;50013200;hr. infr. Bìstovice;hr. infr. Bìstovice;hi vl. v km 3,370;-;hiVlBes;-;-;3,337;90;Hranice infrastruktur;1;Aktivní;9;1491EA;-;-;100545;100081;Èeská Tøebová;314005;Hradec Králové;Stát;SDC;530;Pardubickı;-617677,294;-1067290,969;"E16°11'49,760""";"N50°00'39,798""";;-1
300012;30001200;hr. infr. Bohumín pøednádraí;hr. infr. Bohumín pøednádraí;hi Bohumín pøedn.;-;hiBiPre;-;-;348,667;90;Hranice infrastruktur;1;Aktivní;9;-;-;-;100560;100107;Èeskı Tìšín;316000;Ostrava;Stát;SDC;810;Moravskoslezskı;-465824,404;-1095939,584;"E18°20'31,720""";"N49°53'22,486""";;-1
500173;50017300;hr. infr. Bøezno u Postoloprt;hr. infr. Bøezno u Postoloprt;hi vl. v km 5,529;-;hiVlEle;-;-;5,562;90;Hranice infrastruktur;1;Aktivní;9;0561C1;-;-;100552;100305;Most;313007;Ústí nad Labem;Stát;SDC;420;Ústeckı;-786051,583;-1007695,028;"E13°45'06,133""";"N50°20'49,646""";;-1
500215;50021500;hr. infr. Èeská Kamenice;hr. infr. Èeská Kamenice;hi È.Kamenice St.3;-;hiCKst3;-;-;26,676;90;Hranice infrastruktur;1;Aktivní;9;0861H1;-;-;100552;100131;Dìèín;313007;Ústí nad Labem;Stát;SDC;420;Ústeckı;-730923,06;-964722,987;"E14°26'12,903""";"N50°47'57,516""";;-1
500074;50007400;hr. infr. Èeská Skalice;hr. infr. Èeská Skalice;hi vl. v km 10,361;-;hiVlAgr;-;-;10,343;90;Hranice infrastruktur;1;Aktivní;9;1651J1;-;-;100545;100172;Hradec Králové;314005;Hradec Králové;Stát;SDC;520;Královehradeckı;-624155,471;-1024981,026;"E16°02'22,294""";"N50°22'56,360""";;-1
500124;50012400;hr. infr. Èíkovice;hr. infr. Èíkovice;hi Èíkovice;-;hiCizko;-;-;3,25;90;Hranice infrastruktur;1;Aktivní;9;0751B1;-;-;100552;100479;Ústí nad Labem;313007;Ústí nad Labem;Stát;SDC;420;Ústeckı;-763829,446;-994922,65;"E14°02'07,505""";"N50°29'21,843""";;-1
300020;30002000;hr. infr. Havíøov;hr. infr. Havíøov;hi Havíøov;-;hiHavir;-;-;18,342;90;Hranice infrastruktur;1;Aktivní;9;-;-;-;100560;100107;Èeskı Tìšín;316000;Ostrava;Stát;SDC;810;Moravskoslezskı;-460943,101;-1107113,194;"E18°25'22,204""";"N49°47'35,427""";;-1
500009;50000900;hr. infr. Hnìvice;hr. infr. Hnìvice;hi Hnìvice;-;hiHnevi;-;-;466,604;90;Hranice infrastruktur;1;Aktivní;9;0801JJ;-;-;100552;100479;Ústí nad Labem;313007;Ústí nad Labem;Stát;SDC;420;Ústeckı;-741381,407;-1002554,072;"E14°21'48,670""";"N50°26'58,425""";;-1
700047;70004700;hr. infr. Hrádek u Rokycan;hr. infr. Hrádek u Rokycan;hi vl. v km 3,942;-;hiVlZH;-;-;3,975;90;Hranice infrastruktur;1;Aktivní;9;0411A7;-;-;100545;100388;Plzeò;312009;Plzeò;Stát;SDC;320;Plzeòskı;-804311,34;-1075835,651;"E13°38'18,113""";"N49°43'01,402""";;-1
500017;50001700;hr. infr. Chvatìruby;hr. infr. Chvatìruby;hi Chvatìruby;-;hiChvat;-;-;2,316;90;Hranice infrastruktur;1;Aktivní;9;-;-;-;100545;100230;Kralupy nad Vltavou;311001;Praha;Stát;SDC;210;Støedoèeskı;-746377,102;-1025517,687;"E14°20'17,795""";"N50°14'20,022""";;-1
700021;70002100;hr. infr. j. el. Temelín;hr. infr. j. el. Temelín;hi Temelín;-;hiTemel;-;-;13,126;90;Hranice infrastruktur;1;Aktivní;9;0471C1;-;-;100545;100099;Èeské Budìjovice;312009;Plzeò;Stát;SDC;310;Jihoèeskı;-761330,72;-1140356,346;"E14°21'05,661""";"N49°11'51,462""";;-1
700088;70008800;hr. infr. Jindøichùv Hradec - H. Skrıchov;hr. infr. Jindø. Hradec-H. Skrıchov;hi JH-Skrıchov JHMD;-;hiJHst4;-;-;2,038;90;Hranice infrastruktur;1;Aktivní;9;1801F3;-;-;100545;100446;Tábor;312009;Plzeò;Stát;SDC;310;Jihoèeskı;-713332,082;-1150501,178;"E15°01'21,413""";"N49°09'52,291""";;-1
700096;70009600;hr. infr. Jindøichùv Hradec - Jindøiš;hr. infr. Jindøichùv Hradec-Jindøiš;hi JH-Kanclov JHMD;-;hiJHst5;-;-;2,704;90;Hranice infrastruktur;1;Aktivní;9;1801FK;-;-;100545;100446;Tábor;312009;Plzeò;Stát;SDC;310;Jihoèeskı;-712826,831;-1150934,791;"E15°01'48,894""";"N49°09'40,469""";;-1
500140;50014000;hr. infr. Kadaò-Prunéøov;hr. infr. Kadaò-Prunéøov;hi vl. v km 30,358;-;hiVlArm;-;-;30,285;90;Hranice infrastruktur;1;Aktivní;9;-;-;-;100552;100198;Karlovy Vary;313007;Ústí nad Labem;Stát;SDC;420;Ústeckı;-819462,057;-996582,991;"E13°15'50,453""";"N50°24'04,817""";;-1
700104;70010400;hr. infr. Kájov;hr. infr. Kájov;hi Kájov;-;hiKajov;-;-;31,802;90;Hranice infrastruktur;1;Aktivní;9;49202;-;-;100545;100099;Èeské Budìjovice;312009;Plzeò;Stát;SDC;310;Jihoèeskı;-773138,9;-1181838,672;"E14°16'11,323""";"N48°48'48,792""";;-1
