@lat	@lon	railway:ref	name
49.5812151	13.5313423	739557	Blovice
48.8504082	14.3514248	760223	Zlatá Koruna
49.4144538	15.5990365	342154	Jihlava
49.5507871	13.5739456	739458	Ždírec u Plzně
49.2693973	13.8234401	761320	Katovice
49.2515434	14.0158684	734327	Čejetice
48.6018001	14.4219480	752220	Horní Dvořiště
49.9031404	12.9695598	755157	Bezdružice
48.8130150	14.2654059	759928	Kájov
49.3056882	15.7492420	332551	Bransouze
49.3695794	15.7099496	347856	Luka nad Jihlavou
49.3174835	15.3982382	758201	Batelov
48.7427481	14.0868927	759225	Černá v Pošumaví
49.5336822	17.3054291	334821	Grygov
50.4305040	15.3612725	554204	Jičín
49.9129688	18.0057730	348540	Štítina
49.4457951	14.5988690	755025	Balkova Lhota
50.0182283	17.7771158	346643	Skrochovice
49.4437151	13.7900937	747022	Lnáře
49.4569092	13.7442156	746834	Kasejovice
50.0841721	14.3121812	572065	Praha-Ruzyně
48.7751404	14.4688272	752725	Kaplice
50.2546128	12.5582596	765057	Oloví
50.2870409	12.5354560	765156	Rotava
49.8312973	12.9812987	754655	Cebiv
49.9466871	12.7426745	744250	Vlkovice
50.0697080	15.9926572	555136	Holice
48.7994496	14.1203132	759522	Polečnice
48.9046261	14.3314086	760629	Křemže
49.0201601	13.7355975	751420	Lipka
49.0928349	13.8008633	751123	Bohumilice v Čechách
49.1605386	14.2743173	739920	Záboří u Číčenic
49.8048269	17.0763989	350025	Troubelice
49.9756381	12.8599577	744656	Teplá
49.8422238	18.1956843	344440	Ostrava-Třebovice
49.9230243	18.1195485	333047	Dolní Benešov
49.9939917	17.4742764	331629	Bruntál
49.9713649	16.3779821	538637	Ústí nad Orlicí
50.0897220	15.0275990	531160	Pečky
50.0676410	15.1247845	531566	Velim
49.9618569	15.3003929	540146	Kutná Hora hlavní nádraží
49.8786116	17.0622520	339820	Libina
49.9458865	17.0344445	343525	Nový Malín
50.4526776	14.3616386	542878	Hněvice
50.0942799	14.2117128	536367	Jeneč
49.2641031	14.1317394	756627	Putim
50.0322548	14.3094920	549261	Praha-Řeporyje
50.5729651	14.0363955	558197	Prackovice nad Labem
49.3709848	17.6317240	335950	Hlinsko pod Hostýnem
49.1549756	15.0056269	007013	Jindřichův Hradec - místní nádraží
50.2093124	12.2009150	730051	Aš
49.7885105	13.0905552	754259	Pňovany
49.5928838	17.2782973	343624	Olomouc hlavní nádraží
50.9569277	14.5507669	564591	Rumburk
50.1043434	15.7576103	568907	Stéblová
49.4289295	14.9534616	746321	Obrataň
50.0719525	16.9294869	335422	Hanušovice
49.6769427	16.7451680	340372	Chornice
49.9101406	16.9230287	355123	Postřelmov
49.9619376	16.9831313	349720	Šumperk
49.8506705	18.2670720	343640	Ostrava hl.n.
49.8970763	16.4466776	539130	Česká Třebová
50.0317084	15.7560881	536136	Pardubice hlavní nádraží
50.1106578	14.4397509	572560	Praha-Holešovice
50.0830349	14.4361450	570762	Praha hlavní nádraží
49.5376948	18.3934553	344648	Ostravice
50.6398053	15.2651684	565820	Železný Brod
49.5419705	18.2241358	333344	Frenštát pod Radhoštěm
49.6512007	18.3694494	330241	Baška
49.5890914	18.3547243	333542	Frýdlant nad Ostravicí
49.5210205	18.0166035	336222	Hostašovice
49.5349843	18.2950275	339341	Kunčice pod Ondřejníkem
49.5289492	18.0683397	336628	Mořkov hlavní trať
49.6169763	18.3621180	333948	Pržno
49.5370061	18.1328957	349845	Veřovice
49.6779422	18.3539702	333443	Frýdek-Místek
49.6981655	18.3280076	339747	Lískovec u Frýdku
49.8291097	18.2825585	343947	Ostrava střed
49.7905611	18.2908855	344143	Ostrava-Kunčice
49.7364188	18.3036466	345140	Paskov
49.7707093	18.3026196	350348	Vratimov
49.7931321	18.5245929	330142	Albrechtice u Českého Těšína
49.7913746	18.4126711	334540	Havířov
49.7786515	18.3400288	344242	Ostrava-Bartovice
49.8011270	18.2622887	350447	Ostrava-Vítkovice
49.5652988	17.7421592	337220	Hranice na Moravě
49.4745077	17.9613005	351627	Valašské Meziříčí
49.4473851	17.4453187	346627	Přerov
50.4720622	14.9231465	543611	Bakov nad Jizerou
50.5455976	15.0360647	543413	Březina nad Jizerou
50.5586356	15.0567115	543215	Loukov u Mnichova Hradiště
50.4476343	14.8872825	544411	Mladá Boleslav-Debř
50.5791042	15.0786597	543322	Příšovice
50.5873500	15.1388096	543009	Turnov
49.7491462	18.1505138	336545	Jistebník
49.8211155	18.2093443	344341	Ostrava-Svinov
49.5745259	17.8554807	345447	Polom
49.7073186	18.0668087	346940	Studénka
49.6425064	17.9388691	348045	Suchdol nad Odrou
49.9010551	18.3593228	341248	Bohumín
49.9001077	18.4661059	332742	Dětmarovice
49.8557795	18.5271698	336743	Karviná hlavní nádraží
49.7953775	18.5870662	339846	Louky nad Olší
49.8937154	18.5499971	345249	Petrovice u Karviné
49.5954578	18.1470862	337048	Kopřivnice
49.6358279	18.1424591	345744	Příbor
49.5827493	18.1323753	348748	Štramberk
49.7813834	18.5978925	332445	Chotěbuz
49.6874843	18.6619524	349241	Třinec
49.7018874	18.6413604	349340	Třinec-Konská
49.7436938	18.6229519	332346	Český Těšín
50.2824571	14.5849755	530147	Všetaty
49.6706867	18.4143714	332841	Dobrá u Frýdku-Místku
49.6785089	18.5389970	335141	Hnojník
50.2096457	14.6922699	530444	Stará Boleslav
50.2144692	15.8105901	531202	Hradec Králové hlavní nádraží
49.7534762	18.0141835	330647	Bílovec
49.5987705	18.0086874	341446	Nový Jičín město
48.6239410	14.3086780	747725	Vyšší Brod klášter
49.6363087	18.7175516	331041	Bystřice (Bystrzyca)
49.5242898	18.7515800	341040	Mosty u Jablunkova
49.5901961	18.7545318	336248	Návsí (Nawsie)
49.7134805	17.9125472	334045	Fulnek
